Class,First,Second,Third,4,5,6,7,8,9,10,11,12,13,14,15,16
L,2.909271479,-0.352352332,1.441434111,0.152117449,0.223431913,1.3576328,0.307030792,0.316019892,0.587921257,-0.413367821,0.271689805,0.180015912,0.052601517,-0.183837827,-0.138915711,-0.19707904
I,-1.075018893,-1.386883779,0.204900777,1.073520158,2.073389468,0.116602982,0.045887608,-0.572340073,-1.107960053,0.439326804,-0.432006438,-0.388021998,-0.114480765,-0.64336368,-0.187799028,-0.286481919
L,0.049553541,-0.147538652,1.115630924,2.525590027,0.899396871,0.626354146,-0.748446519,-0.900025501,-0.413236041,0.368857054,-0.780865313,-0.211925421,0.638941749,0.097130667,-0.022304069,-0.221584653
L,0.173022136,-2.026508745,2.125403613,1.400231137,-0.3395747,2.550686134,0.875866037,1.302410524,-1.219212121,-0.839121968,-0.244999828,0.571498381,0.566712668,-0.302147715,0.403165221,-0.020318667
L,3.075188698,-0.986299862,-3.704514325,0.142658976,-0.942991895,0.093040339,-0.517819608,-0.284011808,-0.094550245,-0.372343109,0.20907202,-0.094608175,0.009938487,0.178419368,-0.051250961,-0.033142898
L,-1.268703354,0.580555275,0.392887452,-0.093113452,1.373818729,1.551911599,0.698891843,-1.108686325,-0.342785328,-0.795834457,-0.141084207,-0.321305512,-0.388388928,0.17799351,-0.153000442,-0.199774396
W,-0.639948244,0.877113855,-0.389181078,1.545759859,0.629403585,0.524312398,1.384083658,0.3559989,-0.866572144,0.242486807,-0.105505161,0.202905876,-0.20063122,0.151381238,0.28504803,-0.093108775
W,-1.436919258,3.031720461,0.045153089,0.210069802,-0.017176992,0.60155815,-0.398779388,-0.054882772,1.112671041,0.205897224,-0.617331999,-0.219860822,0.170609683,-0.267677768,0.067195792,-0.013838066
L,1.047341399,-2.299815056,0.945517211,-0.326805373,-0.212683478,0.229382326,0.387533731,0.482701135,0.814177361,0.319136796,0.277350757,0.247816553,0.424556145,-0.188841214,0.276464302,0.176694656
I,0.216049334,-0.897904527,2.053675093,-2.0109189,-0.835923726,-1.122122672,-0.024907726,-0.155228363,-0.363549908,0.466467589,0.137747508,-0.069596106,-0.322352874,0.019460217,-0.266854675,-0.117708232
L,1.332803481,-2.408605168,-0.938712464,-1.370628115,0.306217635,0.85304866,0.83065087,-0.41532362,0.101454594,0.336838875,-0.26011482,-0.731357726,0.161628799,0.149243672,0.222472228,0.045288762
L,3.412319785,0.698256217,-2.375814541,-0.662149743,1.188874957,-0.277983627,-0.049157765,0.69007652,0.009957863,-0.109631797,-0.068165149,0.302304951,0.002967228,0.180947906,0.305522641,0.143924468
I,2.026316535,1.299025618,0.325213595,0.668966321,-0.660037998,-0.846884556,0.949568897,-0.396909358,-0.525332937,0.322354107,-0.076632096,-0.285361703,-0.056380963,-0.663940073,-0.045927962,0.401596277
L,0.889458066,-2.542194745,1.881737849,0.581512944,-0.247591458,0.401421665,0.439612249,0.482147478,0.982456776,0.121464742,0.168624535,0.083902717,0.43462703,-0.242464292,0.247865046,0.207183773
L,2.915960769,-1.287398022,-3.706578258,0.070347252,-1.15241616,-0.153514077,-0.353393176,-0.435318595,-0.125450696,-0.35586316,0.21044279,-0.084127034,0.02889629,0.1029857,-0.135909497,-0.045541809
I,0.406134851,-1.247181903,1.247774581,0.425177173,2.066390537,-2.042942865,-0.445723518,0.210566206,0.864290678,0.023989457,0.298347034,0.647715608,0.194351412,-0.134307182,0.333424469,-0.428236376
I,0.434109483,0.455302868,1.705850199,-1.628434065,0.575883876,-1.35631408,-1.11555681,0.159724089,-0.121424355,-0.054486954,0.230469019,-0.238539691,-0.032355769,-0.142193051,0.036298529,-0.213332759
